strategy_id,total_return,cagr,mdd,win_rate,profit_factor,avg_gain,avg_loss,avg_holding_days,params_json
mean_reversion,0.06702487801323298,0.09390630042303871,-0.08093747004444185,0.5666666666666667,1.3874718473316434,581799.4178058498,-548345.9896845875,19.5,"{""window"": 20, ""z_buy"": -1.0, ""z_sell"": 0.0}"
volatility,0.06397053631447247,0.089576469863488,-0.11101583437866347,0.41818181818181815,1.2224984963129935,417432.99003348255,-245423.58333482122,6.590909090909091,"{""exit_ma"": 20, ""low_window"": 60, ""vol_window"": 10}"
golden_cross,0.06254955068822299,0.08756370600164587,-0.074990402912393,0.3076923076923077,1.9214715798164412,1722457.3230906632,-398411.61122634285,17.153846153846153,"{""fast"": 5, ""slow"": 120}"
volatility,0.05853636183041533,0.08188477615625667,-0.047147417591649865,0.4423076923076923,1.6978034816092085,347895.22239959316,-162514.0385872553,7.75,"{""exit_ma"": 20, ""low_window"": 120, ""vol_window"": 20}"
trend_filter,0.05593173172071286,0.07820346514178822,-0.3264083604463657,0.40229885057471265,1.0513984197103625,1605303.099663193,-1027671.7661652961,6.195402298850575,"{""ma"": 120}"
momentum,0.03792951839001435,0.0528551028603379,-0.2137559314757279,0.3404255319148936,1.0223894310772585,1817317.271460431,-917429.4805027768,16.829787234042552,"{""lookback"": 60}"
consecutive,0.03139981136032799,0.04370226407050071,-0.12076474012179783,0.3291139240506329,1.1083143166520921,834758.1066715184,-369483.6119186146,9.443037974683545,"{""buy_days"": 2}"
mean_reversion,0.017835946481382425,0.02476052966329423,-0.08899006215380112,0.44,1.1065206663645664,680318.2317163869,-483077.96658479475,27.96,"{""window"": 60, ""z_buy"": -1.0, ""z_sell"": -0.2}"
volatility,0.01198466742383908,0.01661907289220954,-0.06375672543142985,0.39436619718309857,1.0800578677274633,298787.494277316,-180137.84669570747,5.929577464788732,"{""exit_ma"": 10, ""low_window"": 120, ""vol_window"": 20}"
consecutive,0.009091603545499316,0.012600328795117743,-0.08635718603400122,0.4838709677419355,1.0806785454149543,610757.5280366096,-529838.5768493838,22.548387096774192,"{""buy_days"": 3}"
golden_cross,0.0031994909444224007,0.004429282525259648,-0.19864506232152612,0.32608695652173914,1.091244022153728,1410974.3297696894,-625643.3030049712,16.608695652173914,"{""fast"": 10, ""slow"": 60}"
week52_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""exit_ma"": 10, ""window"": 252}"
week52_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""exit_ma"": 20, ""window"": 252}"
mean_reversion,-0.02551123546614431,-0.0351217920079252,-0.11323507851549197,0.42857142857142855,0.851353857497515,582673.3249213514,-513305.9418742213,20.678571428571427,"{""window"": 20, ""z_buy"": -2.0, ""z_sell"": -0.2}"
golden_cross,-0.03706513524509614,-0.05091315436382304,-0.24586221382097728,0.25757575757575757,0.9819951930895765,1889450.3630278388,-667542.5704211087,11.181818181818182,"{""fast"": 3, ""slow"": 20}"
mean_reversion,-0.0396134906913308,-0.05438639416868207,-0.11690406783050877,0.5373134328358209,0.8884149531828063,346763.81084039644,-453271.8143784742,8.701492537313433,"{""window"": 10, ""z_buy"": -2.0, ""z_sell"": 0.0}"
